"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","screen","att_1","att_2","X1_support_1","X1_satisfaction_1","X1_inclusion","X2_support_1","X2_satisfaction_1","X2_inclusion","X3_support_1","X3_satisfaction_1","X3_inclusion","X4_support_1","X4_satisfaction_1","X4_inclusion","X5_support_1","X5_satisfaction_1","X5_inclusion","X6_support_1","X6_satisfaction_1","X6_inclusion","X7_support_1","X7_satisfaction_1","X7_inclusion","X8_support_1","X8_satisfaction_1","X8_inclusion","comp_1","rep_relation","rep_relation_5_TEXT","rep_relation_mos","rep_subscribe","rep_exp_lev","age","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","edu","edu_8_TEXT","questions_DO"
"7/10/23 18:02","7/10/23 18:05",0,100,210,1,"7/10/23 18:05","R_28ZHIUVVlY8ebHw","anonymous","EN",0.899999976,1,1,2,2,59,36,4,62,42,4,82,65,4,77,64,1,68,64,3,59,67,5,61,76,6,65,73,7,1,2,NA,6,3,10,35,2,NA,"3",NA,4,"","vign|inclusion|satisfaction|support"
"7/10/23 18:06","7/10/23 18:09",0,100,149,1,"7/10/23 18:09","R_1IMFWrDcJTB21mL","anonymous","EN",0.400000006,1,1,2,2,33,45,4,76,64,5,75,62,1,73,59,2,83,66,5,60,73,4,56,41,3,84,72,4,2,1,NA,3,3,8,38,2,NA,"3",NA,5,"","vign|inclusion|satisfaction|support"
"7/10/23 18:10","7/10/23 18:12",0,100,107,1,"7/10/23 18:12","R_PzXpyX020BOAzn3","anonymous","EN",0.100000001,1,1,2,2,71,65,4,54,36,5,81,69,4,68,82,5,84,69,5,30,34,5,63,70,5,61,44,3,2,2,NA,7,3,9,35,1,NA,"3",NA,5,"","vign|inclusion|satisfaction|support"
"7/10/23 18:14","7/10/23 18:17",0,100,189,1,"7/10/23 18:17","R_3dEbiyOfbG4AXPb","anonymous","EN",0.100000001,1,1,2,2,37,69,5,41,32,3,86,64,3,59,58,6,29,21,5,82,56,2,76,65,5,74,70,6,2,2,NA,25,3,60,32,1,NA,"1",NA,4,"","vign|inclusion|satisfaction|support"
"7/10/23 18:18","7/10/23 18:21",0,100,130,1,"7/10/23 18:21","R_3NJluOZL92r6g6V","anonymous","EN",0.400000006,1,1,2,2,23,27,4,77,64,3,84,74,2,54,62,5,66,70,4,79,69,4,92,80,5,89,81,5,2,1,NA,12,3,12,36,2,NA,"3",NA,5,"","vign|inclusion|satisfaction|support"
"7/10/23 18:34","7/10/23 18:35",0,100,46,1,"7/10/23 18:35","R_2akKmGejCHqcVpQ","anonymous","EN",0.899999976,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",""
"7/10/23 18:30","7/10/23 18:36",0,100,327,1,"7/10/23 18:36","R_2eUY45ZfRqol6pk","anonymous","EN",0.800000012,1,1,2,2,13,23,1,89,85,4,76,85,3,87,88,6,83,87,2,84,87,7,83,86,1,80,84,2,2,3,NA,12,3,80,30,1,NA,"3",NA,5,"","vign|inclusion|satisfaction|support"
"7/10/23 18:30","7/10/23 18:36",0,100,362,1,"7/10/23 18:36","R_0xFMAFe1stgdqzD","anonymous","EN",0.800000012,1,1,2,2,39,30,1,73,72,6,71,70,1,64,71,5,80,81,4,74,78,4,86,97,7,72,73,5,2,2,NA,48,2,50,35,1,NA,"3",NA,5,"","vign|satisfaction|inclusion|support"
"7/10/23 18:30","7/10/23 18:38",0,100,443,1,"7/10/23 18:38","R_3QRjfl8zFHBSjAP","anonymous","EN",0.899999976,1,1,2,2,17,18,1,83,80,7,91,93,7,91,91,7,82,82,7,92,93,7,100,100,7,100,100,7,2,3,NA,12,2,70,35,1,NA,"3",NA,5,"","vign|inclusion|satisfaction|support"
"7/10/23 18:36","7/10/23 18:39",0,100,164,1,"7/10/23 18:39","R_2COPhXPpw3NHJPn","anonymous","EN",0.699999988,1,1,2,2,70,66,3,73,79,2,71,27,2,84,79,1,77,78,7,79,73,5,64,81,3,64,64,2,2,3,NA,7,3,100,34,1,NA,"3",NA,5,"","vign|satisfaction|inclusion|support"
